sample_id,U_wall,A_wall,n_airchange,conductive_loss,ventilation_loss,total_heat_loss,duration_hours,thermal_resistance
1,0.9367182020405163,192.60714596148742,7.373540629751771,3.248,80.112,83.36,187.14,1.0676
2,1.3177194231349623,73.40279606636548,1.728746299294786,1.741,18.782,20.524,760.1,0.7589
3,0.39874214068593905,179.92642186624028,6.0909271150834465,1.291,66.177,67.468,231.22,2.5079
4,1.5037233822532774,53.08767414437037,9.705116551187544,1.437,105.444,106.881,145.96,0.665
5,1.715152489360717,81.85086660174142,1.981884678629586,2.527,21.533,24.06,648.39,0.583
6,0.6117876667508375,95.63633644393066,5.342613029995931,1.053,58.046,59.1,263.96,1.6346
7,1.0343065316915967,93.68437102970628,6.1961583682793195,1.744,67.32,69.064,225.88,0.9668
8,0.5371395631084711,93.82169728028272,3.790346064278179,0.907,41.181,42.088,370.65,1.8617
9,1.075318973168961,167.77639420895204,2.1568030651519257,3.247,23.433,26.681,584.69,0.93
10,1.1741985453031396,138.86218532930639,0.6552140446559778,2.935,7.119,10.054,1551.67,0.8516
11,1.3328262482324453,75.57861855309373,0.8375056112557393,1.813,9.099,10.913,1429.55,0.7503
12,1.9131054133306664,194.8448049611839,8.12229401154132,6.71,88.247,94.957,164.29,0.5227
13,0.8178434075947301,64.65081710095758,6.905483659819138,0.952,75.027,75.978,205.32,1.2227
14,1.0482592393573222,68.30573522671682,5.052733719090448,1.289,54.897,56.186,277.65,0.954
15,0.35846048589587126,186.39806031181732,2.736043819680166,1.203,29.727,30.929,504.38,2.7897
16,1.4262878834017694,96.75666141341165,5.296666607542546,2.484,57.547,60.031,259.86,0.7011
17,1.2294074748835753,77.72816832882906,9.701929352092673,1.72,105.41,107.13,145.62,0.8134
18,1.6177257997138947,190.92484123462836,8.96930803419096,5.56,97.45,103.009,151.44,0.6182
19,1.3164299639788448,188.2811352534675,1.0672265201088111,4.461,11.595,16.057,971.56,0.7596
20,0.6331708661125468,56.78409333658071,3.388237241479991,0.647,36.813,37.46,416.45,1.5794
21,0.9607513924721194,90.70235476608438,8.321627589688907,1.569,90.413,91.981,169.6,1.0409
22,0.9064806553791018,92.14017645310712,5.518421614950835,1.503,59.957,61.46,253.82,1.1032
23,0.5395711824570965,170.32954711310595,0.9305963080617541,1.654,10.111,11.765,1325.96,1.8533
24,1.9777077922208794,165.8367153944986,2.14741367903489,5.904,23.331,29.235,533.61,0.5056
25,0.3093875991101241,172.31921426822512,7.127201969706649,0.96,77.436,78.395,198.99,3.2322
26,1.5393121856696785,165.69055200289188,0.9256375869940856,4.591,10.057,14.648,1065.01,0.6496
27,0.9093917385252634,67.38035892876945,8.658413573580816,1.103,94.072,95.175,163.91,1.0996
28,1.3596068156068484,99.63470372789737,0.8228718328030318,2.438,8.94,11.379,1370.98,0.7355
29,0.8286699469166257,98.77749830401206,7.350140547713028,1.473,79.858,81.331,191.81,1.2068
30,1.3838477013038624,183.08191138644898,4.827706266587104,4.56,52.452,57.012,273.62,0.7226
31,0.5033102180951129,156.98671808344926,7.655693476445595,1.422,83.178,84.6,184.4,1.9868
32,1.2541712358681436,165.64507699318415,5.0391968443710295,3.739,54.75,58.489,266.72,0.7973
33,1.18864580994939,114.13115275378244,0.4491074420921329,2.442,4.879,7.321,2130.75,0.8413
34,0.4834154258886175,54.714377853010134,6.4368220303850485,0.476,69.935,70.411,221.56,2.0686
35,0.8344051678297553,126.28560367470541,9.094151444475711,1.897,98.806,100.703,154.91,1.1985
36,0.7237967895530875,111.55743845534445,7.6044011577218775,1.453,82.62,84.074,185.55,1.3816
37,0.6889568813357582,61.54698647431895,3.039564238554927,0.763,33.024,33.788,461.71,1.4515
38,0.5740761883318075,189.45464785138597,8.119579719731286,1.958,88.218,90.175,173.0,1.7419
39,1.3767863860677199,180.71908852815767,8.075986353611322,4.479,87.744,92.223,169.16,0.7263
40,0.6171691001062609,183.88384977349668,5.485553970773378,2.043,59.599,61.642,253.07,1.6203
41,1.6726482637789064,184.41369498852399,3.3164340547242666,5.552,36.032,41.585,375.14,0.5979
42,0.4870882716970505,84.19027438129126,4.385656328537312,0.738,47.649,48.387,322.4,2.053
43,1.6906251020682384,179.10958748845152,0.2681308792056689,5.451,2.913,8.364,1865.2,0.5915
44,1.1682704143818616,112.61165047231685,2.3766565426131567,2.368,25.822,28.19,553.39,0.856
45,0.5037711244672607,100.6422757105442,9.440515098342688,0.913,102.569,103.482,150.75,1.985
46,0.8494449844352838,127.81859326150492,7.089585797172743,1.954,77.027,78.981,197.52,1.1772
47,0.9181703240447998,195.7673124081441,9.63198349043269,3.235,104.65,107.885,144.6,1.0891
48,0.728029902903119,124.58727588385781,3.148607436204343,1.633,34.209,35.842,435.25,1.3736
49,0.7842288404416949,55.53304210317992,6.17373047300299,0.784,67.076,67.86,229.88,1.2751
50,1.1545543394890645,57.7218126874984,2.9307353495187924,1.2,31.842,33.041,472.13,0.8661
51,1.8440520061433112,85.93428360004586,1.6199697464939864,2.852,17.601,20.453,762.72,0.5423
52,1.1320696924718572,197.8475681165901,2.5721416608127043,4.032,27.946,31.977,487.84,0.8833
53,1.4426304305899935,164.24294229930763,2.528847931125517,4.265,27.475,31.74,491.49,0.6932
54,1.5379677926401614,105.16746990788798,6.39659713981708,2.911,69.498,72.409,215.44,0.6502
55,1.377000508293521,130.36620261121377,1.0848397465332014,3.231,11.787,15.018,1038.77,0.7262
56,1.7200142425017046,98.11700974576038,2.0278814019185716,3.038,22.033,25.07,622.25,0.5814
57,0.36931774064309864,138.63394147823627,6.840130746054368,0.922,74.317,75.238,207.34,2.7077
58,0.32819930917735546,126.81395874489215,2.4196585969397923,0.749,26.289,27.038,576.96,3.0469
59,1.3967937436960647,76.15496435074871,6.971189833404167,1.915,75.741,77.655,200.89,0.7159
60,0.9574500887109136,190.50949831051017,1.547705252630734,3.283,16.816,20.099,776.17,1.0444
61,0.8798127967854394,67.02102818608836,9.261997459129915,1.061,100.63,101.691,153.41,1.1366
62,1.7914769007476676,88.69124415727333,6.667843651134955,2.86,72.445,75.305,207.16,0.5582
63,1.689277740342067,133.28012173991937,5.390575667888864,4.053,58.568,62.62,249.12,0.592
64,0.7111488945307678,63.96541517088488,8.992714427942602,0.819,97.704,98.523,158.34,1.4062
65,1.8307106971776619,144.9652185909902,3.522491952277267,4.777,38.271,43.048,362.38,0.5462
66,0.8936562768415235,158.8933518305359,8.991680547535255,2.556,97.693,100.249,155.61,1.119
67,1.8080469212506993,166.98133187864357,6.491910132312021,5.434,70.533,75.968,205.35,0.5531
68,0.44303794049158296,74.24430711419207,9.005831047565376,0.592,97.847,98.439,158.47,2.2571
69,1.330929401421303,51.37955774249445,1.1944211200871147,1.231,12.977,14.208,1097.97,0.7514
70,1.4279530074836948,50.759237576932804,1.7759189038914869,1.305,19.295,20.6,757.29,0.7003
71,1.2328474419231963,153.78427965390398,6.589220343125485,3.413,71.591,75.003,207.99,0.8111
72,0.6812578260829516,156.82688320213038,2.525041057468641,1.923,27.434,29.357,531.39,1.4679
73,0.8531794868707552,161.9737107677036,6.566402410662704,2.487,71.343,73.83,211.3,1.1721
74,1.7436797978401024,148.6419338450515,5.769424312687622,4.665,62.684,67.349,231.63,0.5735
75,0.4592471053077572,105.15737045891503,2.7989832032809097,0.869,30.41,31.28,498.73,2.1775
76,0.7147823937444421,195.95158321286684,4.052357701734252,2.521,44.028,46.549,335.13,1.399
77,1.8164791438010925,144.67079389958943,7.989150774708155,4.73,86.801,91.531,170.43,0.5505
78,1.1544830582788266,136.53558269395387,5.026673399424867,2.837,54.614,57.451,271.54,0.8662
79,0.6319130792566756,158.3678172892258,2.951569151920387,1.801,32.068,33.87,460.59,1.5825
80,0.3413371429334715,146.82084438607518,1.9356846581890796,0.902,21.031,21.933,711.26,2.9297
81,1.8987795933999543,193.0892865503881,9.165671024160396,6.599,99.583,106.183,146.92,0.5267
